site_id,site_lon,site_lat,n_events,n_individuals,median_duration_hours,is_noise_site
9,34.10933805807985,13.688961109920102,19,3,174.0,False
10,34.67308659709202,13.037187402666635,7,3,240.0,False
2,33.44313264235425,15.48113566942345,13,2,168.0,False
11,36.74900377269451,14.951235282625532,13,2,84.0,False
12,43.58081948947199,46.22791527164206,10,2,129.0,False
7,43.76678112221926,46.71768675534007,4,2,75.0,False
6,46.735071098163424,50.22534645023657,3,2,120.0,False
16,34.53331940041844,12.734239552433776,3,2,120.0,False
15,35.347835558212,15.28529253209577,3,2,66.0,False
13,43.14360363280976,46.21091988850202,2,2,210.0,False
0,45.3354558933469,48.973237821387926,5,1,138.0,False
21,42.27046350589632,46.626248464906894,5,1,66.0,False
20,35.32092272454557,12.916109885753443,5,1,60.0,False
18,36.72432350594799,39.291792916421656,2,1,408.0,False
1,42.914770378245585,46.47648156680873,2,1,297.0,False
17,38.58121731783261,34.31072924031938,2,1,177.0,False
19,18.089524713234493,14.362469641641432,2,1,177.0,False
5,47.20784434494154,50.38683208841876,2,1,150.0,False
3,30.339317225531936,12.903417603496443,2,1,108.0,False
4,46.10670362447863,49.95107970411767,2,1,96.0,False
8,33.67626364922627,15.852934037641072,2,1,69.0,False
14,45.220621917010654,39.27912526706872,2,1,51.0,False
35,34.15220505081817,13.314284939368163,1,1,780.0,True
36,37.04228966892691,39.24372228189756,1,1,678.0,True
23,45.32166947407193,41.66626134934966,1,1,354.0,True
38,19.847754783887076,14.25213048026381,1,1,336.0,True
30,41.85291837586927,32.09117915723052,1,1,312.0,True
29,43.044555798460436,46.86833824078436,1,1,252.0,True
27,49.87204697822843,48.95495127402109,1,1,234.0,True
32,44.197245767922446,46.936852845193805,1,1,216.0,True
28,42.98846227478205,47.286963739168776,1,1,144.0,True
24,45.34369486769705,47.47775791391104,1,1,126.0,True
33,35.20764812143308,16.113341729158442,1,1,102.0,True
39,34.03327646255549,18.093858193976214,1,1,102.0,True
37,19.75516059450103,14.622832649441964,1,1,90.0,True
34,33.70669830332939,13.142408781152628,1,1,78.0,True
22,44.12532399899923,34.45565984079082,1,1,72.0,True
25,46.09107471123791,49.70976663543714,1,1,72.0,True
31,43.23294942755175,34.86511258046808,1,1,66.0,True
26,32.441095363214615,12.218427857285981,1,1,60.0,True
